MU_MAX,DEPLETION_RADIUS,HYPHA_RADIUS_UM,PSI_BRANCH,MIN_BRANCH_ANGLE_DEG,APICAL_BRANCH_MIN_STEP,LATERAL_DISTANCE_FROM_TIP,PHI_N,PHI_P,LATERAL_BRANCH_MIN_STEP,MAX_DEVIATION_DEG,nutrient_pm_fraction,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3
0.6429018146711276,1.8735831875190576,1.8391210463433965,0.8281288590619912,43.38620946891687,2,4.237649437374714,0.2335009057702302,0.2104270992986648,1,138.0185113290942,0.11,4.0,0.0,0.0,3.884909893785436,41.28111810184974
13.703289684978614,0.3801349752477356,1.3724631638080689,0.3430246817889179,15.547719742689091,5,8.048425560178813,0.1814322347489631,0.0246136187160377,4,67.63349661570076,0.05,4.0,0.0,0.0,0.0,0.0
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,10.0,6.0,0.0,85.21226116758116,524.6963388125016
1.972319484139192,5.687032422152329,2.3047576760272594,0.595857703611188,2.4864657509897747,4,3.4394230252383635,0.0401072296308982,0.0496338224293136,1,0.4155008437871421,0.07,4.0,0.0,0.0,0.0,0.0
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.07,16.0,12.0,0.0,108.67908957322162,669.1938416280377
9.58,5.0,1.3299999999999998,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,6.0,2.0,0.0,71.19463200264393,395.6401922017648
14.80952889195634,9.391450292496764,1.0929848048334532,0.6587182598737318,18.79885296216585,4,3.800370545739979,0.1949940218396747,0.0969870483455833,13,113.6115934888801,0.05,4.0,0.0,0.0,99.79750730043186,374.53966263516566
10.274845421372213,8.885640570053711,0.3735484242449491,1.2138188755724062,9.68875953478875,0,4.533061047526827,0.0621542043303683,0.2516743761706549,5,132.55997479570485,0.05,465.0,276.4,184.8,1769.4004031431746,775.6571712609871
16.56269263897613,1.4273217493557022,0.5351225032615439,0.3084930625438823,73.42745895664478,3,2.230833367949625,0.0372817829811917,0.1478773220335711,3,87.66423228558986,0.07,109.6,0.0,105.6,854.7269286879543,768.9244818628279
18.36939691647172,3.796395320489212,2.754624863793951,0.4382472479894396,4.959148158039428,1,7.491742300559669,0.1446210627261381,0.2354093225496269,4,65.62440657879125,0.03,86.6,0.0,82.8,728.5594980051609,17367.600610241443
14.433989957445684,6.472865474890277,0.918334858844099,0.0493218991250147,55.17062807009169,1,3.662758125910846,0.1365554244167808,0.20824959861269,6,78.46393165038195,0.11,24.2,0.0,20.2,168.1441161618367,445.48561732087694
0.4787217069361189,1.6735719632778467,2.6735258203726624,1.7878722631896464,42.76045569952952,3,3.618083956430314,0.0623863960158672,0.2793943089641811,11,23.02887770849741,0.05,3.8,0.0,0.0,0.0801255131314389,1.7992415099371375
8.33822130955167,0.7385902667441946,0.120923435307743,1.5376805554136246,57.39204528743327,4,5.769927428971685,0.0060596274202191,0.1828385500372578,3,8.227653253314337,0.01,4.0,0.0,0.0,0.0,0.0
8.792941055398282,9.152134673906016,2.492918540514529,1.9413307169697465,33.11357924068625,4,2.9558281286854413,0.0873423417167575,0.0762967152308057,13,21.027577272830897,0.03,11.2,7.2,0.0,80.70887512814677,1575.7500960183968
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.11,13.0,9.0,0.0,99.26846841042412,611.2477385389457
16.451405561131008,7.641874433844533,2.293937177482801,1.505398611073673,53.6674843534377,3,1.093157298793522,0.0672879923361425,0.215743040051324,7,89.42951747137498,0.09,37.6,33.6,0.0,340.6646197881545,5631.705606984303
15.344937417022422,9.012105265965603,0.6032366344210334,0.4608275160288392,88.07720496124821,3,2.789521418002706,0.0333514130725225,0.0618806669393477,2,94.31863067071237,0.09,248.8,0.0,244.8,1479.176759967898,1691.0068389782696
0.9342999283451028,1.4172033987568455,0.4997440516229354,0.7010939875450657,19.67217511740533,3,6.024468829479358,0.039791892226766,0.1547729453717856,1,25.341190242360923,0.05,4.0,0.0,0.0,0.6543362484914308,0.5133884801583987
9.58,5.0,1.4,0.995,50.0,3,4.369999999999999,0.15,0.15,7,70.0,0.05,11.0,7.0,0.0,89.91981546116203,553.6832060632755
9.58,5.0,1.4,0.995,50.0,3,4.6,0.15,0.1425,7,70.0,0.05,8.0,4.0,0.0,78.20478833376683,481.5476734696169
9.58,5.0,1.4,0.995,50.0,3,4.6,0.1425,0.15,7,70.0,0.05,14.0,10.0,0.0,103.94731015574598,640.057807653594
