param,direction,baseline_value,perturbed_value,seed,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3,citric_total_mmol
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,10,7,3,0,65.933954765072,405.98975070766096,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,11,5,2,0,64.28080756778668,395.8104611306845,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,12,5,1,0,60.62682769797874,373.31100115259136,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,13,6,2,0,71.39217920433276,439.59888559571164,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,14,11,7,0,73.89574447909808,455.01464285468273,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,15,6,2,0,62.988242618739605,387.8514645361851,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,16,4,0,0,58.742038575658476,361.7053714185067,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,17,5,1,0,60.99531368684575,375.5799615887191,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,18,17,13,0,96.91760012896893,596.772216314695,4.4506146853485384e-13
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,19,5,1,0,62.83007538987506,386.8775464078757,0.0
LATERAL_DISTANCE_FROM_TIP,plus5pct,4.6,4.83,20,7,3,0,70.91869198765515,436.6833778312049,0.0
PHI_N,minus5pct,0.15,0.1425,1,4,0,0,59.35763274139316,365.49590579148975,0.0
PHI_N,minus5pct,0.15,0.1425,3,5,1,0,60.70994722154708,373.82281141443127,0.0
PHI_N,minus5pct,0.15,0.1425,4,6,2,0,67.74878196727241,417.16458840735766,0.0
PHI_N,minus5pct,0.15,0.1425,5,6,2,0,67.85529973766722,417.8204738794579,0.0
PHI_N,minus5pct,0.15,0.1425,6,5,1,0,60.899505766467406,374.9900222494391,0.0
PHI_N,minus5pct,0.15,0.1425,7,4,0,0,58.96664678422316,363.0884013145137,0.0
PHI_N,minus5pct,0.15,0.1425,8,10,6,0,76.1956501676383,469.1763618122147,0.0
PHI_N,minus5pct,0.15,0.1425,9,5,1,0,60.915571006972286,375.08894431487374,0.0
PHI_N,minus5pct,0.15,0.1425,10,7,3,0,65.933954765072,405.98975070766096,0.0
PHI_N,minus5pct,0.15,0.1425,11,5,2,0,64.28080756778668,395.8104611306845,0.0
PHI_N,minus5pct,0.15,0.1425,12,5,1,0,60.62682769797874,373.31100115259136,0.0
PHI_N,minus5pct,0.15,0.1425,13,6,2,0,71.39217920433276,439.59888559571164,0.0
PHI_N,minus5pct,0.15,0.1425,14,11,7,0,73.89574447909808,455.01464285468273,0.0
PHI_N,minus5pct,0.15,0.1425,15,6,2,0,62.988242618739605,387.8514645361851,0.0
PHI_N,minus5pct,0.15,0.1425,16,4,0,0,58.742038575658476,361.7053714185067,0.0
PHI_N,minus5pct,0.15,0.1425,17,5,1,0,60.99531368684575,375.5799615887191,0.0
PHI_N,minus5pct,0.15,0.1425,18,17,13,0,96.91760012896893,596.772216314695,4.4506146853485384e-13
PHI_N,minus5pct,0.15,0.1425,19,5,1,0,62.83007538987506,386.8775464078757,0.0
PHI_N,minus5pct,0.15,0.1425,20,7,3,0,70.91869198765515,436.6833778312049,0.0
PHI_N,plus5pct,0.15,0.1575,1,4,0,0,59.35763274139316,365.49590579148975,0.0
PHI_N,plus5pct,0.15,0.1575,3,5,1,0,60.70994722154708,373.82281141443127,0.0
PHI_N,plus5pct,0.15,0.1575,4,6,2,0,67.74878196727241,417.16458840735766,0.0
PHI_N,plus5pct,0.15,0.1575,5,6,2,0,67.85529973766722,417.8204738794579,0.0
PHI_N,plus5pct,0.15,0.1575,6,5,1,0,60.899505766467406,374.9900222494391,0.0
PHI_N,plus5pct,0.15,0.1575,7,4,0,0,58.96664678422316,363.0884013145137,0.0
PHI_N,plus5pct,0.15,0.1575,8,10,6,0,76.1956501676383,469.1763618122147,0.0
PHI_N,plus5pct,0.15,0.1575,9,5,1,0,60.915571006972286,375.08894431487374,0.0
PHI_N,plus5pct,0.15,0.1575,10,7,3,0,65.933954765072,405.98975070766096,0.0
PHI_N,plus5pct,0.15,0.1575,11,5,2,0,64.28080756778668,395.8104611306845,0.0
PHI_N,plus5pct,0.15,0.1575,12,5,1,0,60.62682769797874,373.31100115259136,0.0
PHI_N,plus5pct,0.15,0.1575,13,6,2,0,71.39217920433276,439.59888559571164,0.0
PHI_N,plus5pct,0.15,0.1575,14,11,7,0,73.89574447909808,455.01464285468273,0.0
PHI_N,plus5pct,0.15,0.1575,15,6,2,0,62.988242618739605,387.8514645361851,0.0
PHI_N,plus5pct,0.15,0.1575,16,4,0,0,58.742038575658476,361.7053714185067,0.0
PHI_N,plus5pct,0.15,0.1575,17,5,1,0,60.99531368684575,375.5799615887191,0.0
PHI_N,plus5pct,0.15,0.1575,18,17,13,0,96.91760012896893,596.772216314695,4.4506146853485384e-13
PHI_N,plus5pct,0.15,0.1575,19,5,1,0,62.83007538987506,386.8775464078757,0.0
PHI_N,plus5pct,0.15,0.1575,20,7,3,0,70.91869198765515,436.6833778312049,0.0
PHI_P,minus5pct,0.15,0.1425,1,4,0,0,59.35763274139316,365.49590579148975,0.0
PHI_P,minus5pct,0.15,0.1425,3,5,1,0,60.70994722154708,373.82281141443127,0.0
PHI_P,minus5pct,0.15,0.1425,4,6,2,0,67.74878196727241,417.16458840735766,0.0
PHI_P,minus5pct,0.15,0.1425,5,6,2,0,67.85529973766722,417.8204738794579,0.0
PHI_P,minus5pct,0.15,0.1425,6,5,1,0,60.899505766467406,374.9900222494391,0.0
PHI_P,minus5pct,0.15,0.1425,7,4,0,0,58.96664678422316,363.0884013145137,0.0
PHI_P,minus5pct,0.15,0.1425,8,10,6,0,76.1956501676383,469.1763618122147,0.0
PHI_P,minus5pct,0.15,0.1425,9,5,1,0,60.915571006972286,375.08894431487374,0.0
PHI_P,minus5pct,0.15,0.1425,10,7,3,0,65.933954765072,405.98975070766096,0.0
PHI_P,minus5pct,0.15,0.1425,11,5,2,0,64.28080756778668,395.8104611306845,0.0
PHI_P,minus5pct,0.15,0.1425,12,5,1,0,60.62682769797874,373.31100115259136,0.0
PHI_P,minus5pct,0.15,0.1425,13,6,2,0,71.39217920433276,439.59888559571164,0.0
PHI_P,minus5pct,0.15,0.1425,14,11,7,0,73.89574447909808,455.01464285468273,0.0
PHI_P,minus5pct,0.15,0.1425,15,6,2,0,62.988242618739605,387.8514645361851,0.0
PHI_P,minus5pct,0.15,0.1425,16,4,0,0,58.742038575658476,361.7053714185067,0.0
PHI_P,minus5pct,0.15,0.1425,17,5,1,0,60.99531368684575,375.5799615887191,0.0
PHI_P,minus5pct,0.15,0.1425,18,17,13,0,96.91760012896893,596.772216314695,4.4506146853485384e-13
PHI_P,minus5pct,0.15,0.1425,19,5,1,0,62.83007538987506,386.8775464078757,0.0
PHI_P,minus5pct,0.15,0.1425,20,7,3,0,70.91869198765515,436.6833778312049,0.0
PHI_P,plus5pct,0.15,0.1575,1,4,0,0,59.35763274139316,365.49590579148975,0.0
PHI_P,plus5pct,0.15,0.1575,3,5,1,0,60.70994722154708,373.82281141443127,0.0
PHI_P,plus5pct,0.15,0.1575,4,6,2,0,67.74878196727241,417.16458840735766,0.0
PHI_P,plus5pct,0.15,0.1575,5,6,2,0,67.85529973766722,417.8204738794579,0.0
PHI_P,plus5pct,0.15,0.1575,6,5,1,0,60.899505766467406,374.9900222494391,0.0
PHI_P,plus5pct,0.15,0.1575,7,4,0,0,58.96664678422316,363.0884013145137,0.0
PHI_P,plus5pct,0.15,0.1575,8,10,6,0,76.1956501676383,469.1763618122147,0.0
PHI_P,plus5pct,0.15,0.1575,9,5,1,0,60.915571006972286,375.08894431487374,0.0
PHI_P,plus5pct,0.15,0.1575,10,7,3,0,65.933954765072,405.98975070766096,0.0
PHI_P,plus5pct,0.15,0.1575,11,5,2,0,64.28080756778668,395.8104611306845,0.0
PHI_P,plus5pct,0.15,0.1575,12,5,1,0,60.62682769797874,373.31100115259136,0.0
PHI_P,plus5pct,0.15,0.1575,13,6,2,0,71.39217920433276,439.59888559571164,0.0
PHI_P,plus5pct,0.15,0.1575,14,11,7,0,73.89574447909808,455.01464285468273,0.0
PHI_P,plus5pct,0.15,0.1575,15,6,2,0,62.988242618739605,387.8514645361851,0.0
PHI_P,plus5pct,0.15,0.1575,16,4,0,0,58.742038575658476,361.7053714185067,0.0
PHI_P,plus5pct,0.15,0.1575,17,5,1,0,60.99531368684575,375.5799615887191,0.0
PHI_P,plus5pct,0.15,0.1575,18,17,13,0,96.91760012896893,596.772216314695,4.4506146853485384e-13
PHI_P,plus5pct,0.15,0.1575,19,5,1,0,62.83007538987506,386.8775464078757,0.0
PHI_P,plus5pct,0.15,0.1575,20,7,3,0,70.91869198765515,436.6833778312049,0.0
