run_id,sweep_type,varied_param,direction,RNG_SEED,MU_MAX,DEPLETION_RADIUS,HYPHA_RADIUS_UM,PSI_BRANCH,MIN_BRANCH_ANGLE_DEG,APICAL_BRANCH_MIN_STEP,LATERAL_DISTANCE_FROM_TIP,PHI_N,PHI_P,LATERAL_BRANCH_MIN_STEP,MAX_DEVIATION_DEG,nutrient_pm_fraction,total_tips,n_apical_events,n_lateral_events,avg_length_um,avg_volume_um3,citric_total_mmol
112,param_pm5,DEPLETION_RADIUS,plus5pct,22.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,21,17,0,127.14831177703496,782.918476302352,0.0
113,param_pm5,DEPLETION_RADIUS,plus5pct,23.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,3,0,0,66.56532199333444,409.87740805387307,0.0
114,param_pm5,DEPLETION_RADIUS,plus5pct,24.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,22,18,0,129.4544185068669,797.1183783055866,0.0
115,param_pm5,DEPLETION_RADIUS,plus5pct,25.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,14,10,0,103.7940167773729,639.113900364966,0.0
116,param_pm5,DEPLETION_RADIUS,plus5pct,26.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,15,11,0,103.80760869026018,639.1975928621688,0.0
117,param_pm5,DEPLETION_RADIUS,plus5pct,27.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,10,6,0,82.775994471297,509.6949740042473,0.0
118,param_pm5,DEPLETION_RADIUS,plus5pct,28.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,15,11,0,103.81551274585527,639.2462622552314,0.0
119,param_pm5,DEPLETION_RADIUS,plus5pct,29.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,17,13,0,113.12368471179653,696.5615322016723,0.0
120,param_pm5,DEPLETION_RADIUS,plus5pct,30.0,9.58,5.25,1.4,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,13,9,0,94.44762655140315,581.5633006568455,0.0
121,param_pm5,HYPHA_RADIUS_UM,minus5pct,1.0,9.58,5.0,1.3299999999999998,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,12,8,0,94.6032469696687,525.7256869113498,0.0
122,param_pm5,HYPHA_RADIUS_UM,minus5pct,2.0,9.58,5.0,1.3299999999999998,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,,,,,,
123,param_pm5,HYPHA_RADIUS_UM,minus5pct,3.0,9.58,5.0,1.3299999999999998,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,9,5,0,80.5771718271944,447.78049765889546,0.0
124,param_pm5,HYPHA_RADIUS_UM,minus5pct,4.0,9.58,5.0,1.3299999999999998,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,7,3,0,73.53831118367101,408.66440000448785,0.0
125,param_pm5,HYPHA_RADIUS_UM,minus5pct,5.0,9.58,5.0,1.3299999999999998,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,7,3,0,73.51817200407,408.55248329582594,0.0
126,param_pm5,HYPHA_RADIUS_UM,minus5pct,6.0,9.58,5.0,1.3299999999999998,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,7,3,0,75.88770029744002,421.7203388355753,0.0
127,param_pm5,HYPHA_RADIUS_UM,minus5pct,7.0,9.58,5.0,1.3299999999999998,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,16,12,0,108.6950687820071,604.0362411410499,0.0
128,param_pm5,HYPHA_RADIUS_UM,minus5pct,8.0,9.58,5.0,1.3299999999999998,0.995,50.0,3,4.6,0.15,0.15,7,70.0,0.05,11,7,0,87.5862692122465,486.73119602727684,0.0
